armature_j1,armature_j2,armature_j3,armature_j4,armature_j5,armature_j6,armature_j7,static_friction_j1,static_friction_j2,static_friction_j3,static_friction_j4,static_friction_j5,static_friction_j6,static_friction_j7,dynamic_friction_j1,dynamic_friction_j2,dynamic_friction_j3,dynamic_friction_j4,dynamic_friction_j5,dynamic_friction_j6,dynamic_friction_j7,viscous_friction_j1,viscous_friction_j2,viscous_friction_j3,viscous_friction_j4,viscous_friction_j5,viscous_friction_j6,viscous_friction_j7,motor_delay_steps_120hz
0.12667421238944762,0.5938493846826655,0.16247294813591268,0.5307865032585501,0.9816307166736171,0.5247020742980273,0.6373814234553559,0.1694100424770934,0.20442549726568143,0.11775040754973284,0.24268160737510122,0.5483061687530483,0.5722327384970085,0.5588178009117498,0.1427966647876108,0.17231138591465275,0.09925247187018027,0.20455767339263034,0.5009096858513253,0.5227680037345679,0.5105126753168175,0.05459136984048525,0.12415843572509376,0.1736942569230084,0.1962442791296405,0.07783978397482856,0.05924852753258754,0.1928867894480393,1.0
0.5934661527192724,0.9596893958228384,0.4840520641537275,0.9473789803982524,0.3172662230044765,0.5304365610605905,0.5180412556930977,0.17670586072032451,0.11217954763423235,0.3539766245054792,0.2504081904584246,0.6432423067804612,0.4151671228284177,0.5886946333772922,0.14406936472519824,0.0914606685762578,0.288599298360503,0.20415932315018143,0.4589089077459272,0.2961930346634277,0.41999291456938787,0.13013419707262125,0.03948391215907372,0.14619951752522456,0.06774856084087788,0.0031106168563358686,0.10287857018956725,0.1906059289598615,3.0
0.3536128238978533,0.4368543031920853,0.7885404738633073,0.7701813776621956,0.2020063429332255,0.7301418459719011,0.4585197904932977,0.3334428424629797,0.11909927677014692,0.28097085394036164,0.3321991002417017,0.6366242385342245,0.43001873745114094,0.4163942068489582,0.23943275789718074,0.08552070900667755,0.20175459743189947,0.23853967340943433,0.502139880002209,0.3391789758422921,0.3284325735730064,0.1769394370680808,0.08108680713294664,0.09002759669716094,0.14483621323537085,0.1783398067277348,0.1645881510257462,0.07713409496703563,0.0
0.4102937546388268,0.3888557466784131,0.7165181602571207,0.4400848762225014,0.2353548009420659,0.9051850699253962,0.3260683819662851,0.2551631101042411,0.24202547072196948,0.1727051626101998,0.2586010769234348,0.5514480247424601,0.3823658893189896,0.3893461444477108,0.18126781671289297,0.1719348406153183,0.12268970913784036,0.1837101475772253,0.4283493118820827,0.2970110658270324,0.3024331316373968,0.013214748757372476,0.19100411596996625,0.040448988822766666,0.05518245991178144,0.09321872122692282,0.03666698428167903,0.18226402222642227,0.0
0.7247625346865799,0.8936202207656653,0.5705225383820685,0.23451622008005107,0.14614274953272738,0.5018134442915876,0.804373925800481,0.3122154093706599,0.12880850019940404,0.15574823743289584,0.15517230729386614,0.539078614566991,0.46373803010676995,0.5397939123850937,0.2743407188816702,0.11318280738931094,0.13685449897563265,0.13634843462510776,0.3952490852880576,0.34000983763789966,0.3957735371966919,0.1881438921104674,0.014234276558948801,0.19380998498659793,0.06439744898760849,0.01936115640037164,0.08571121617417453,0.10297418954942253,0.0
0.1909033169928228,0.15329163627915732,0.3618255196587225,0.352816247434886,0.7664593193318355,0.4868449595062305,0.4336006751292242,0.2588983612892105,0.3258659436093444,0.2051337244154168,0.3205174473931731,0.6440003304670165,0.43589276876168953,0.5734940377780736,0.2296217353544098,0.28901652019687096,0.18193688652730872,0.28427284018059684,0.55,0.39487184753975607,0.5195237601527419,0.10354632468501579,0.1676028389747939,0.14309090643059505,0.13665631221706429,0.17815514643503122,0.18952256469562329,0.04934464876802807,3.0
0.9536244049200938,0.46083496190954815,0.26311438261296327,0.7760712350363828,0.5932811655105338,0.649331977230665,0.4775683775399832,0.19556324321352664,0.21620242002869725,0.3830128801295929,0.3992007618868071,0.5150533098042075,0.3791568706188569,0.5903088259411235,0.16957673366216727,0.18747336971852044,0.33211799976133316,0.3461548303445759,0.4711152464901498,0.3468118331827433,0.5399508803162175,0.12437206416955336,0.153753467771982,0.02029720078841442,0.07760800581703434,0.0251632811880121,0.06728300150625999,0.08624015934732365,2.0
0.5155018466518915,0.6214879479158257,0.704655303077521,0.600495814645693,0.8421532545336987,0.23626780186135438,0.460204952839686,0.3200963942587213,0.17557491320207796,0.17747601127418527,0.1734756407517256,0.3849594230956166,0.37818062946042486,0.6088690079664798,0.28660766186170883,0.1572061299564264,0.158908333677522,0.15532648501384738,0.2766615824908955,0.27178981767108606,0.43758030890395433,0.13672620842370004,0.06802007242292805,0.19100941605758287,0.01440843866379149,0.05927529980036875,0.1424428501230901,0.108791116048257,3.0
0.18696372040647735,0.1269409971805781,0.6144140719014342,0.26721102782276734,0.32905284976476845,0.32106970221254477,0.40311124230304396,0.11390004873471388,0.3074091913744109,0.15435415956967724,0.32981826329484243,0.5296381414058126,0.4812850910035181,0.6114437873270178,0.07518468674218227,0.20291882235260666,0.1018881841010316,0.2177109060368271,0.39518342407203977,0.35910535014105804,0.4562217684362849,0.02255102191758711,0.13668401727732551,0.020057933772764547,0.03333849447895392,0.14094237191101053,0.018917087455822903,0.015122431812172522,2.0
0.8326592248121509,0.4237581208526485,0.8059064599702552,0.8837956148735571,0.8031047621110095,0.8894727450695717,0.06023664077223949,0.3776197113609173,0.2222494682305785,0.2965542514110672,0.30918611058354784,0.5292080548067611,0.42065153617268614,0.647957130820215,0.35,0.20666689537886526,0.27576194867176895,0.28750815053593354,0.36289631427970154,0.28845534508899934,0.4443266735079601,0.08000554239692757,0.12069018164062856,0.08602742423231542,0.06147667712976406,0.19329034636809853,0.14445900961751304,0.0983052215944911,3.0
